epoch 103, time 6.2, train_loss 0.30, val_loss 0.48 
epoch 104, time 6.4, train_loss 0.29, val_loss 0.51 
epoch 105, time 7.7, train_loss 0.28, val_loss 0.51 
epoch 106, time 7.3, train_loss 0.30, val_loss 0.50 
epoch 107, time 7.8, train_loss 0.29, val_loss 0.50 
epoch 108, time 7.1, train_loss 0.27, val_loss 0.48 
epoch 109, time 7.3, train_loss 0.27, val_loss 0.51 
epoch 110, time 8.5, train_loss 0.28, val_loss 0.46 
epoch 111, time 7.6, train_loss 0.26, val_loss 0.48 
epoch 112, time 8.1, train_loss 0.29, val_loss 0.48 
epoch 113, time 7.5, train_loss 0.26, val_loss 0.48 
epoch 114, time 6.3, train_loss 0.26, val_loss 0.48 
epoch 115, time 6.0, train_loss 0.26, val_loss 0.49 
epoch 116, time 6.4, train_loss 0.27, val_loss 0.48 
epoch 117, time 6.5, train_loss 0.26, val_loss 0.53 
epoch 118, time 6.2, train_loss 0.27, val_loss 0.52 
epoch 119, time 6.1, train_loss 0.26, val_loss 0.47 
epoch 120, time 6.1, train_loss 0.26, val_loss 0.48 
epoch 121, time 6.2, train_loss 0.26, val_loss 0.47 
epoch 122, time 6.0, train_loss 0.23, val_loss 0.45 
epoch 123, time 6.1, train_loss 0.23, val_loss 0.45 
epoch 124, time 6.5, train_loss 0.23, val_loss 0.45 
epoch 125, time 6.6, train_loss 0.23, val_loss 0.45 
epoch 126, time 6.9, train_loss 0.23, val_loss 0.45 
epoch 127, time 7.8, train_loss 0.23, val_loss 0.45 
epoch 128, time 10.6, train_loss 0.23, val_loss 0.45 
epoch 129, time 8.1, train_loss 0.23, val_loss 0.45 
epoch 130, time 7.9, train_loss 0.23, val_loss 0.45 
epoch 131, time 6.3, train_loss 0.23, val_loss 0.45 
epoch 132, time 6.6, train_loss 0.23, val_loss 0.45 
epoch 133, time 6.9, train_loss 0.23, val_loss 0.45 
epoch 134, time 6.6, train_loss 0.22, val_loss 0.44 
epoch 135, time 6.6, train_loss 0.23, val_loss 0.45 
epoch 136, time 6.4, train_loss 0.23, val_loss 0.45 
epoch 137, time 6.8, train_loss 0.22, val_loss 0.45 
epoch 138, time 6.2, train_loss 0.23, val_loss 0.45 
epoch 139, time 6.7, train_loss 0.23, val_loss 0.44 
